id,fold,feature_type,feature_set,model_name,hyperparameters,fit_metric,tn,fp,fn,tp,balanced_accuracy,f1,precision,recall,specificity,detected_seizures,total_seizures,false_detected_rate,data_length_hours,norm_type,percent_detected
63e619db765145b78fe19d671b609690,1,local,best_15,gaussian_nb,{'var_smoothing': 0.001},0.8886949071285849,3911627,50616,1484,4739,0.8743776131481256,0.153918607294813,0.0856110559118417,0.7615298087739033,0.9872254175223478,608,608,1.5236517082419252,5511.758333333333,per_file,100.0
f2b0d6dd1e674fac883c956edc4bf57e,1,local,best_15,passive_aggressive,"{'C': 10, 'class_weight': 'balanced'}",0.8849583809634696,3461825,500418,1141,5082,0.8451756366990149,0.0198623083191492,0.010053412462908,0.8166479190101237,0.873703354387906,608,608,15.952622499474607,5511.758333333333,per_file,100.0
99f3094f1f3b4748844ab464230cbb30,1,local,best_15,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.01, 'learning_rate': 'adaptive', 'loss': 'log_loss', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.9081489820383568,3844184,118059,1411,4812,0.871732241692721,0.0745503276682107,0.0391630246355934,0.7732604852964808,0.9702039980889612,608,608,3.986568109692763,5511.758333333333,per_file,100.0
68f49d0b503c4e499a465c98c11b7ef5,1,local,best_5_and_leastcorr,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9625398424212266,3857265,104978,1099,5124,0.898451243157946,0.0880980012894906,0.0465386641477902,0.8233970753655793,0.9735054109503128,608,608,2.778967994182135,5511.758333333333,per_file,100.0
a9dd24ac0b5348f984e92765c29d77fc,1,local,best_5_and_leastcorr,gaussian_nb,{'var_smoothing': 0.001},0.9095603491631612,3921930,40313,1397,4826,0.8826679582184914,0.1879210311124956,0.1069141983650501,0.7755102040816326,0.9898257123553502,608,608,1.0651773254451469,5511.758333333333,per_file,100.0
4c6be8a672034674bdc829e578017fcd,1,local,best_5_and_leastcorr,passive_aggressive,"{'C': 100, 'class_weight': 'balanced'}",0.9324339712062109,3652493,309750,1077,5146,0.8743784652172119,0.0320504236747124,0.0163419033585691,0.8269323477422466,0.9218245826921772,608,608,8.577843428669919,5511.758333333333,per_file,100.0
3ffcfc48a5a44b8f9b27e343eb77e161,1,local,best_5_and_leastcorr,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'log_loss', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.9439191239812588,3829154,133089,1098,5125,0.8949842308450828,0.0709651958985578,0.037080180010708,0.8235577695645188,0.966410692125647,608,608,3.5086806841736835,5511.758333333333,per_file,100.0
4f4f3e0b314449748d34667ddef23b05,1,local,best_10_and_leastcorr,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9699473813163656,3865342,96901,953,5270,0.9112011655975458,0.0972378544937911,0.0515801939885094,0.8468584284107343,0.9755439027843572,608,608,2.673012695585649,5511.758333333333,per_file,100.0
389b84bc019b41068a7647059c0251d7,1,local,best_10_and_leastcorr,gaussian_nb,{'var_smoothing': 0.001},0.9071907370299834,3916935,45308,1338,4885,0.8867781122938991,0.1731778218944979,0.0973243280935588,0.7849911618190584,0.9885650627687398,608,608,1.2850708560940172,5511.758333333333,per_file,100.0
2a93406633754889aac44516af344bea,1,local,best_10_and_leastcorr,passive_aggressive,"{'C': 100, 'class_weight': 'balanced'}",0.9273871099241664,3614094,348149,1109,5114,0.8669617440725943,0.028451733864462,0.0144764665419248,0.8217901333761851,0.9121333547690034,608,608,10.96274479861992,5511.758333333333,per_file,100.0
24cb14a60ba04f84b098462e2b7cbbb0,1,local,best_10_and_leastcorr,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.001, 'validation_fraction': 0.2}",0.947406760104869,3818350,143893,1103,5120,0.8932191261651778,0.0659640804967919,0.0343594183057854,0.8227542985698216,0.9636839537605342,608,608,3.8875071627172817,5511.758333333333,per_file,100.0
