id,fold,feature_type,feature_set,model_name,hyperparameters,fit_metric,norm_type,post_processing,tn,fp,fn,tp,balanced_accuracy,f1,precision,recall,specificity,detected_seizures,total_seizures,false_detected_rate,data_length_hours
b70df609fbbe44d0b060acfc1337e4b4,0,local,best_5,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8893611035342859,per_file,erosion_dilation_dilation=4_erosion=2,3929464,32779,1457,4766,0.8787978563729839,0.2177846828733321,0.12694100412837928,0.7658685521452675,0.9917271606007002,608,608,1.035785615902971,5511.758333333333
b70df609fbbe44d0b060acfc1337e4b4,0,local,best_5,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8893611035342859,per_file,rolling_mean_6_0.5_0.2,3873620,88623,310,5913,0.963908960894703,0.1173691680147679,0.06254760091393755,0.9501847983287803,0.9776331234606257,608,608,1.6247083885813813,5511.758333333333
b70df609fbbe44d0b060acfc1337e4b4,0,local,best_5,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8893611035342859,per_file,rolling_mean_8_0.5_0.2,3876194,86049,142,6081,0.9777320896252273,0.12365662460728194,0.06600455877564311,0.9771814237506026,0.978282755499852,608,608,0.8944514076723853,5511.758333333333
b70df609fbbe44d0b060acfc1337e4b4,0,local,best_5,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8893611035342859,per_file,rolling_mean_10_0.5_0.2,3897889,64354,173,6050,0.9779790465368128,0.15790778707244182,0.08593261746491676,0.9721999035834806,0.9837581894901448,604,608,0.598538578886653,5511.758333333333
2dc6ca2ac6bc455faad2692eb0647d86,0,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9587973040006288,per_file,none,3841152,121091,1155,5068,0.89191848759074,0.07656630055445605,0.04017152957775506,0.8143982002249719,0.9694387749565082,608,608,14.378714596521679,5511.758333333333
2dc6ca2ac6bc455faad2692eb0647d86,0,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9587973040006288,per_file,dilation_erosion_dilation=2_erosion=1,3866961,95282,948,5275,0.911807204566438,0.09880127364675033,0.052457809998309415,0.8476618994054315,0.9759525097274447,607,608,3.2350837830033066,5511.758333333333
2dc6ca2ac6bc455faad2692eb0647d86,0,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9587973040006288,per_file,dilation_erosion_dilation=2_erosion=2,3877819,84424,952,5271,0.9128559996732055,0.1099063783648533,0.05876581749261386,0.8470191226096738,0.9786928767367372,606,608,2.2499172224229715,5511.758333333333
2dc6ca2ac6bc455faad2692eb0647d86,0,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9587973040006288,per_file,dilation_erosion_dilation=3_erosion=3,3869547,92696,903,5320,0.9157491543559859,0.10207312042517676,0.05427685275873327,0.8548931383577053,0.9766051703542665,607,608,1.8398847312790383,5511.758333333333
2dc6ca2ac6bc455faad2692eb0647d86,0,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9587973040006288,per_file,erosion_dilation_dilation=2_erosion=1,3903657,58586,1082,5141,0.9056714036709561,0.14699070764832023,0.08067224253456148,0.8261288767475494,0.9852139305943628,607,608,2.3099706536480342,5511.758333333333
2dc6ca2ac6bc455faad2692eb0647d86,0,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9587973040006288,per_file,erosion_dilation_dilation=3_erosion=1,3902212,60031,1063,5160,0.907015652349404,0.14450947993390653,0.07915203018821616,0.8291820665273983,0.9848492381714095,607,608,2.221432664409875,5511.758333333333
